title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Jacksonville,FL,32210,"$185,990",181845,,,"3 bds, 3.0 ba ,1442 sqft",MALTBIE REALTORS,https://www.zillow.com/homedetails/5955-Creekside-Crossing-Dr-D-Jacksonville-FL-32210/2076709043_zpid/
New construction,,Jacksonville,FL,32210,"$195,900",190828,,,"3 bds, 2.0 ba ,1365 sqft",KELLER WILLIAMS REALTY ATLANTIC PARTNERS SOUTHSIDE,https://www.zillow.com/homedetails/5343-Walkers-Ridge-Dr-Jacksonville-FL-32210/2076934303_zpid/
New construction,,Jacksonville,FL,32210,"$191,990",187730,,,"3 bds, 3.0 ba ,1442 sqft",MALTBIE REALTORS,https://www.zillow.com/homedetails/5988-Creekside-Crossing-Dr-Jacksonville-FL-32210/2076683833_zpid/
New construction,,Jacksonville,FL,32210,"$69,885+",,,,"3 bds, 2.0 ba ,1216 sqft",YES!Communities,https://www.zillow.com/community/woodland-estates-fl/2076838605_zpid/
New construction,,Jacksonville,FL,32210,"$62,771+",,,,"2 bds, 2.0 ba ,960 sqft",YES!Communities,https://www.zillow.com/community/woodland-estates-fl/2076964817_zpid/
New construction,,Jacksonville,FL,32210,"$199,990",195533,,,"3 bds, 3.0 ba ,1442 sqft",MALTBIE REALTORS,https://www.zillow.com/homedetails/5984-Creekside-Crossing-Dr-Jacksonville-FL-32210/2076683834_zpid/
New construction,,Jacksonville,FL,32210,"$192,990",188689,,,"3 bds, 3.0 ba ,1442 sqft",MALTBIE REALTORS,https://www.zillow.com/homedetails/5990-Creekside-Crossing-Dr-Jacksonville-FL-32210/2076697485_zpid/
New construction,,Jacksonville,FL,32210,"$190,990",186775,,,"3 bds, 3.0 ba ,1442 sqft",MALTBIE REALTORS,https://www.zillow.com/homedetails/5986-Creekside-Crossing-Dr-Jacksonville-FL-32210/2076683832_zpid/
New construction,,Jacksonville,FL,32210,"$69,885+",,,,"3 bds, 2.0 ba ,1216 sqft",YES!Communities,https://www.zillow.com/community/woodland-estates-fl/2076853645_zpid/
New construction,,Jacksonville,FL,32210,"$62,771",,,,"2 bds, 2.0 ba ,960 sqft",YES!Communities,https://www.zillow.com/homedetails/9359-103rd-St-LOT-42-Jacksonville-FL-32210/2076964820_zpid/
New construction,,Jacksonville,FL,32210,"$62,771+",,,,"2 bds, 2.0 ba ,960 sqft",YES!Communities,https://www.zillow.com/community/woodland-estates-fl/2076964818_zpid/
New construction,,Jacksonville,FL,32210,"$69,885+",,,,"3 bds, 2.0 ba ,1216 sqft",YES!Communities,https://www.zillow.com/community/woodland-estates-fl/2076838606_zpid/
New construction,,Jacksonville,FL,32210,"$49,828+",,,,"2 bds, 2.0 ba ,960 sqft",YES!Communities,https://www.zillow.com/community/woodland-estates-fl/2076656832_zpid/
New construction,,Jacksonville,FL,32210,"$43,500+",,,,"3 bds, 2.0 ba ,924 sqft",YES!Communities,https://www.zillow.com/community/woodland-estates-fl/2076656833_zpid/
New construction,,Jacksonville,FL,32210,"$49,828",,,,"2 bds, 2.0 ba ,960 sqft",YES!Communities,https://www.zillow.com/homedetails/9359-103rd-St-LOT-288-Jacksonville-FL-32210/2076656834_zpid/
New construction,,Jacksonville,FL,32210,"$43,500",185261,1175,0.63,"3 bds, 2.0 ba ,924 sqft",YES!Communities,https://www.zillow.com/homedetails/9359-103rd-St-LOT-242-Jacksonville-FL-32210/2085601604_zpid/
New construction,,Jacksonville,FL,32210,"$69,885",,,,"3 bds, 2.0 ba ,1216 sqft",YES!Communities,https://www.zillow.com/homedetails/9359-103rd-St-LOT-248-Jacksonville-FL-32210/2076838604_zpid/
New construction,,Jacksonville,FL,32210,"$69,885",,,,"3 bds, 2.0 ba ,1216 sqft",YES!Communities,https://www.zillow.com/homedetails/9359-103rd-St-LOT-256-Jacksonville-FL-32210/2076838603_zpid/
New construction,,Jacksonville,FL,32210,"$62,771",,,,"2 bds, 2.0 ba ,960 sqft",YES!Communities,https://www.zillow.com/homedetails/9359-103rd-St-LOT-57-Jacksonville-FL-32210/2076964824_zpid/
New construction,,Jacksonville,FL,32210,"$69,885",,,,"3 bds, 2.0 ba ,1216 sqft",YES!Communities,https://www.zillow.com/homedetails/9359-103rd-St-LOT-254-Jacksonville-FL-32210/2076853646_zpid/
