title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Yulee,FL,32097,"$196,990",192889,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86480-Mainline-Rd-Yulee-FL-32097/2077669668_zpid/
New construction,,Yulee,FL,32097,"$195,990",191910,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86440-Mainline-Rd-Yulee-FL-32097/2077723541_zpid/
New construction,,Yulee,FL,32097,"$193,990",189952,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86512-Mainline-Rd-Yulee-FL-32097/2077636771_zpid/
New construction,,Yulee,FL,32097,"$193,990",193917,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86576-Mainline-Rd-Yulee-FL-32097/2077529400_zpid/
New construction,,Yulee,FL,32097,"$194,990",190931,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86496-Mainline-Rd-Yulee-FL-32097/2077636772_zpid/
New construction,,Yulee,FL,32097,"$194,990",190931,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86520-Mainline-Rd-Yulee-FL-32097/2077636770_zpid/
New construction,,Yulee,FL,32097,"$194,990",190931,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86504-Mainline-Rd-Yulee-FL-32097/2077636773_zpid/
New construction,,Yulee,FL,32097,"$194,990",194918,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86560-Mainline-Rd-Yulee-FL-32097/2077529395_zpid/
New construction,,Yulee,FL,32097,"$194,990",194914,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86584-Mainline-Rd-Yulee-FL-32097/2077529399_zpid/
New construction,,Yulee,FL,32097,"$195,990",191910,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86488-Mainline-Rd-Yulee-FL-32097/2077636775_zpid/
New construction,,Yulee,FL,32097,"$192,990",192990,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86568-Mainline-Rd-Yulee-FL-32097/2077529401_zpid/
New construction,,Yulee,FL,32097,"$188,990+",183938,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/community/nassau-crossing-townhomes/2078223662_zpid/
New construction,,Yulee,FL,32097,"$193,990",193914,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86552-Mainline-Rd-Yulee-FL-32097/2077529396_zpid/
New construction,,Yulee,FL,32097,"$188,990",188934,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86640-Mainline-Rd-Yulee-FL-32097/2077104547_zpid/
New construction,,Yulee,FL,32097,"$188,990",188934,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86624-Mainline-Rd-Yulee-FL-32097/2077104550_zpid/
New construction,,Yulee,FL,32097,"$195,990",192037,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86448-Mainline-Rd-Yulee-FL-32097/2077723540_zpid/
New construction,,Yulee,FL,32097,"$189,990",189938,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86632-Mainline-Rd-Yulee-FL-32097/2077104548_zpid/
New construction,,Yulee,FL,32097,"$195,990",191910,,,"2 bds, 3.0 ba ,1167 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/86432-Mainline-Rd-Yulee-FL-32097/2077723537_zpid/
