title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Casselberry,FL,32707,"$119,900+",116900,1450,1.24,"3 bds, 2.0 ba ,1387 sqft",Summerloch Green,https://www.zillow.com/community/summerloch-green/2087399322_zpid/
New construction,,Casselberry,FL,32707,"$119,999+",116988,1450,1.24,"3 bds, 2.0 ba ,1386 sqft",Summerloch Green,https://www.zillow.com/community/summerloch-green/2087399323_zpid/
New construction,,Casselberry,FL,32707,"$119,999+",116989,1400,1.2,"2 bds, 2.0 ba ,1387 sqft",Summerloch Green,https://www.zillow.com/community/summerloch-green/2087399324_zpid/
