title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Satsuma,FL,32189,"$139,900",134701,,,"3 bds, 2.0 ba ,1263 sqft",CHARLES RUTENBERG REALTY ORLANDO,https://www.zillow.com/homedetails/121-Palmland-Ave-Satsuma-FL-32189/47462863_zpid/
New construction,,Satsuma,FL,32189,"$159,900",154965,,,"2 bds, 2.0 ba ,1008 sqft",LOKATION,https://www.zillow.com/homedetails/157-Lake-Margo-Dr-Satsuma-FL-32189/99834642_zpid/
New construction,,Satsuma,FL,32189,"$169,900",164802,,,"3 bds, 2.0 ba ,1008 sqft",LOKATION,https://www.zillow.com/homedetails/100-Lake-Margo-Dr-Satsuma-FL-32189/99864495_zpid/
