title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Jacksonville,FL,32216,"$184,990",180879,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/352-Aralia-Ln-Jacksonville-FL-32216/2077033805_zpid/
New construction,,Jacksonville,FL,32216,"$185,990",181311,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/406-Aralia-Ln-Jacksonville-FL-32216/2076842095_zpid/
New construction,,Jacksonville,FL,32216,"$186,990",184562,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/322-Pistachio-Pl-Jacksonville-FL-32216/2078742919_zpid/
New construction,,Jacksonville,FL,32216,"$186,990",184085,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/333-Aralia-Ln-Jacksonville-FL-32216/2077117413_zpid/
New construction,,Jacksonville,FL,32216,"$184,990",182325,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/286-Aralia-Ln-Jacksonville-FL-32216/2078325712_zpid/
New construction,,Jacksonville,FL,32216,"$191,990",188497,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/334-Aralia-Ln-Jacksonville-FL-32216/2077438206_zpid/
New construction,,Jacksonville,FL,32216,"$191,990",188497,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/330-Aralia-Ln-Jacksonville-FL-32216/2077438203_zpid/
New construction,,Jacksonville,FL,32216,"$184,990",180879,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/350-Aralia-Ln-Jacksonville-FL-32216/2077033801_zpid/
New construction,,Jacksonville,FL,32216,"$184,990",180879,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/354-Aralia-Ln-Jacksonville-FL-32216/2077033804_zpid/
New construction,,Jacksonville,FL,32216,"$185,990",183104,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/331-Aralia-Ln-Jacksonville-FL-32216/2077117410_zpid/
New construction,,Jacksonville,FL,32216,"$184,990",182074,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/290-Aralia-Ln-Jacksonville-FL-32216/2078325715_zpid/
New construction,,Jacksonville,FL,32216,"$184,990",181493,,,"2 bds, 3.0 ba ,1107 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/336-Pistachio-Pl-Jacksonville-FL-32216/2078189041_zpid/
New construction,,Jacksonville,FL,32216,"$186,990",182285,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/408-Aralia-Ln-Jacksonville-FL-32216/2076842097_zpid/
New construction,,Jacksonville,FL,32216,"$190,990",188080,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/332-Aralia-Ln-Jacksonville-FL-32216/2077438204_zpid/
New construction,,Jacksonville,FL,32216,"$185,990",181311,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/410-Aralia-Ln-Jacksonville-FL-32216/2076842096_zpid/
New construction,,Jacksonville,FL,32216,"$190,990",188080,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/328-Aralia-Ln-Jacksonville-FL-32216/2077438207_zpid/
New construction,,Jacksonville,FL,32216,"$185,990+",,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/community/aralia-place/2078594222_zpid/
New construction,,Jacksonville,FL,32216,"$185,990",181311,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/404-Aralia-Ln-Jacksonville-FL-32216/2076842092_zpid/
New construction,,Jacksonville,FL,32216,"$183,990",181338,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/284-Aralia-Ln-Jacksonville-FL-32216/2078325718_zpid/
New construction,,Jacksonville,FL,32216,"$184,990",182757,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/288-Aralia-Ln-Jacksonville-FL-32216/2078325716_zpid/
New construction,,Jacksonville,FL,32216,"$192,990+",188093,,,"2 bds, 3.0 ba ,1346 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/community/aralia-place/2078594220_zpid/
New construction,,Jacksonville,FL,32216,"$180,990+",176158,,,"2 bds, 3.0 ba ,1107 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/community/aralia-place/2078594221_zpid/
New construction,,Jacksonville,FL,32216,"$185,990",181856,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/348-Aralia-Ln-Jacksonville-FL-32216/2077033802_zpid/
New construction,,Jacksonville,FL,32216,"$184,990",181374,,,"2 bds, 3.0 ba ,1107 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/334-Pistachio-Pl-Jacksonville-FL-32216/2078189042_zpid/
