title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Panama City,FL,32404,"$184,900",180080,1800,1.0,"4 bds, 2.0 ba ,1558 sqft",Keller Williams Success Realty,https://www.zillow.com/homedetails/7402-Sweetbriar-Rd-Panama-City-FL-32404/108452515_zpid/
New construction,,Panama City,FL,32404,"$189,680",182987,,,"3 bds, 3.0 ba ,1498 sqft",DR Horton of NWFL LLC,https://www.zillow.com/homedetails/5953-Callaway-Cir-UNIT-94-Panama-City-FL-32404/2077248202_zpid/
New construction,,Panama City,FL,32404,"$174,900",171570,,,"3 bds, 3.0 ba ,1498 sqft",DR Horton of NWFL LLC,https://www.zillow.com/homedetails/5817-Bay-Pl-UNIT-64-Panama-City-FL-32404/2078148293_zpid/
New construction,,Panama City,FL,32404,"$174,900",171178,,,"3 bds, 3.0 ba ,1498 sqft",DR Horton of NWFL LLC,https://www.zillow.com/homedetails/5813-Bay-Pl-UNIT-65-Panama-City-FL-32404/2078148252_zpid/
New construction,,Panama City,FL,32404,"$174,900",171178,,,"3 bds, 3.0 ba ,1498 sqft",DR Horton of NWFL LLC,https://www.zillow.com/homedetails/5849-Bay-Pl-UNIT-57-Panama-City-FL-32404/2078148728_zpid/
New construction,,Panama City,FL,32404,"$115,000",108738,1250,1.15,"3 bds, 2.0 ba ,1216 sqft",Hitchcock Real Estate LLC,https://www.zillow.com/homedetails/7536-Harvey-St-Panama-City-FL-32404/42751433_zpid/
