title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Williston,FL,32696,"$158,900",152645,,,"3 bds, 2.0 ba ,1181 sqft",KELLER WILLIAMS CORNERSTONE RE,https://www.zillow.com/homedetails/NE-1st-St-4963-Williston-FL-32696/2076861951_zpid/
New construction,,Williston,FL,32696,"$169,900",162959,,,"3 bds, 2.0 ba ,1146 sqft",KELLER WILLIAMS CORNERSTONE RE,https://www.zillow.com/homedetails/NE-2nd-St-4964-Williston-FL-32696/2076863339_zpid/
New construction,,Williston,FL,32696,"$158,900",152645,,,"3 bds, 2.0 ba ,1181 sqft",KELLER WILLIAMS CORNERSTONE RE,https://www.zillow.com/homedetails/NE-1st-St-4965-Williston-FL-32696/2076862645_zpid/
New construction,,Williston,FL,32696,"$159,900",153510,,,"3 bds, 2.0 ba ,1003 sqft",KELLER WILLIAMS CORNERSTONE RE,https://www.zillow.com/homedetails/NE-2nd-St-4975-Williston-FL-32696/2076862685_zpid/
