title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Gainesville,FL,32607,"$71,989",70573,,,"3 bds, 2.0 ba ,1344 sqft",YES!Communities,https://www.zillow.com/homedetails/282-Bishop-Dr-Gainesville-FL-32607/2077363512_zpid/
New construction,,Gainesville,FL,32607,"$69,337+",64458,,,"3 bds, 2.0 ba ,1152 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2076821147_zpid/
New construction,,Gainesville,FL,32607,"$71,989",70574,,,"3 bds, 2.0 ba ,1344 sqft",YES!Communities,https://www.zillow.com/homedetails/718-Queens-Rd-Gainesville-FL-32607/2077363510_zpid/
New construction,,Gainesville,FL,32607,"$71,110+",66114,,,"3 bds, 2.0 ba ,1152 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2076756917_zpid/
New construction,,Gainesville,FL,32607,"$79,300+",73779,,,"3 bds, 2.0 ba ,1344 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2076821148_zpid/
New construction,,Gainesville,FL,32607,"$71,989+",66930,,,"3 bds, 2.0 ba ,1344 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2077363502_zpid/
New construction,,Gainesville,FL,32607,"$65,815",61143,,,"2 bds, 2.0 ba ,960 sqft",YES!Communities,https://www.zillow.com/homedetails/847-Victoria-Ct-Gainesville-FL-32607/2076821149_zpid/
New construction,,Gainesville,FL,32607,"$65,815+",61116,,,"2 bds, 2.0 ba ,960 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2076821146_zpid/
New construction,,Gainesville,FL,32607,"$69,337",64509,,,"3 bds, 2.0 ba ,1152 sqft",YES!Communities,https://www.zillow.com/homedetails/906-Nottingham-Cir-Gainesville-FL-32607/2076821151_zpid/
New construction,,Gainesville,FL,32607,"$71,110",66114,,,"3 bds, 2.0 ba ,1152 sqft",YES!Communities,https://www.zillow.com/homedetails/837-Victoria-Ct-Gainesville-FL-32607/2076756916_zpid/
New construction,,Gainesville,FL,32607,"$32,200+",,,,"3 bds, 2.0 ba ,1088 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2076656844_zpid/
New construction,,Gainesville,FL,32607,"$33,500+",,,,"3 bds, 2.0 ba ,1088 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2076656842_zpid/
New construction,,Gainesville,FL,32607,"$55,499+",,,,"3 bds, 2.0 ba ,1152 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2076656845_zpid/
New construction,,Gainesville,FL,32607,"$33,500",130008,1100,0.85,"3 bds, 2.0 ba ,1088 sqft",YES!Communities,https://www.zillow.com/homedetails/807-Victoria-Ct-Gainesville-FL-32607/2100350127_zpid/
New construction,,Gainesville,FL,32607,"$30,900+",,,,"3 bds, 2.0 ba ,952 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2076656843_zpid/
New construction,,Gainesville,FL,32607,"$32,200",113234,970,0.86,"3 bds, 2.0 ba ,1088 sqft",YES!Communities,https://www.zillow.com/homedetails/674-Queens-Rd-Gainesville-FL-32607/2100083085_zpid/
New construction,,Gainesville,FL,32607,"$55,499",128957,1100,0.85,"3 bds, 2.0 ba ,1152 sqft",YES!Communities,https://www.zillow.com/homedetails/432-Squire-Dr-Gainesville-FL-32607/2096541351_zpid/
New construction,,Gainesville,FL,32607,"$30,900",100463,950,0.95,"3 bds, 2.0 ba ,952 sqft",YES!Communities,https://www.zillow.com/homedetails/681-Queens-Rd-Gainesville-FL-32607/2108672680_zpid/
New construction,,Gainesville,FL,32607,"$71,989+",66975,,,"3 bds, 2.0 ba ,1344 sqft",YES!Communities,https://www.zillow.com/community/hidden-oaks/2077363507_zpid/
New construction,,Gainesville,FL,32607,"$79,300",73779,,,"3 bds, 2.0 ba ,1344 sqft",YES!Communities,https://www.zillow.com/homedetails/745-Queens-Rd-Gainesville-FL-32607/2076821150_zpid/
