title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Jacksonville,FL,32218,"$186,495",182232,,,"2 bds, 3.0 ba ,1128 sqft",Taylor Morrison,https://www.zillow.com/homedetails/266-Annies-Pl-Jacksonville-FL-32218/2077434099_zpid/
New construction,,Jacksonville,FL,32218,"$191,895",187098,,,"2 bds, 3.0 ba ,1165 sqft",Taylor Morrison,https://www.zillow.com/homedetails/260-Annies-Pl-Jacksonville-FL-32218/2077434101_zpid/
New construction,,Jacksonville,FL,32218,"$185,895",181552,,,"2 bds, 3.0 ba ,1128 sqft",Taylor Morrison,https://www.zillow.com/homedetails/268-Annies-Pl-Jacksonville-FL-32218/2077434098_zpid/
New construction,,Jacksonville,FL,32218,"$188,990+",,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/community/capitol-park/2079568597_zpid/
New construction,,Jacksonville,FL,32218,"$185,095",180714,,,"2 bds, 3.0 ba ,1116 sqft",Taylor Morrison,https://www.zillow.com/homedetails/272-Annies-Pl-Jacksonville-FL-32218/2077434092_zpid/
New construction,,Jacksonville,FL,32218,"$194,065",188263,,,"2 bds, 3.0 ba ,1216 sqft",Taylor Morrison,https://www.zillow.com/homedetails/248-Annies-Pl-Jacksonville-FL-32218/2077434093_zpid/
New construction,,Jacksonville,FL,32218,"$191,990",186822,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/883-Capitol-Pkwy-Jacksonville-FL-32218/2077723557_zpid/
New construction,,Jacksonville,FL,32218,"$198,990+",193436,1545,0.8,"3 bds, 3.0 ba ,1707 sqft",Lennar,https://www.zillow.com/community/spartina-cove/2083077693_zpid/
New construction,,Jacksonville,FL,32218,"$195,990",190832,,,"2 bds, 3.0 ba ,1210 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/homedetails/839-Capitol-Pkwy-Jacksonville-FL-32218/2078051297_zpid/
