title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Jacksonville,FL,32222,"$197,990",195618,,,"3 bds, 3.0 ba ,1359 sqft",KB Home,https://www.zillow.com/homedetails/7901-Merchants-Way-Jacksonville-FL-32222/2077413232_zpid/
New construction,,Jacksonville,FL,32222,"$198,990+",195100,,,"3 bds, 3.0 ba ,1598 sqft",KB Home,https://www.zillow.com/community/meadows-at-oakleaf-townhomes/2080289859_zpid/
New construction,,Jacksonville,FL,32222,"$198,990",195100,,,"3 bds, 3.0 ba ,1359 sqft",KB Home,https://www.zillow.com/homedetails/7907-Merchants-Way-Jacksonville-FL-32222/2076702492_zpid/
New construction,,Jacksonville,FL,32222,"$183,490+",178748,,,"2 bds, 3.0 ba ,1611 sqft",Lennar,https://www.zillow.com/community/longleaf-longleaf-townhome-collection/2077572556_zpid/
New construction,,Jacksonville,FL,32222,"$193,490+",190289,,,"3 bds, 3.0 ba ,1751 sqft",Lennar,https://www.zillow.com/community/longleaf-longleaf-townhome-collection/2077572554_zpid/
New construction,,Jacksonville,FL,32222,"$188,990+",185418,,,"3 bds, 3.0 ba ,1359 sqft",KB Home,https://www.zillow.com/community/meadows-at-oakleaf-townhomes/2080289860_zpid/
New construction,,Jacksonville,FL,32222,"$188,490+",185031,,,"3 bds, 3.0 ba ,1631 sqft",Lennar,https://www.zillow.com/community/longleaf-longleaf-townhome-collection/2077572555_zpid/
New construction,,Jacksonville,FL,32222,"$178,990+",173620,,,"2 bds, 3.0 ba ,1155 sqft",KB Home,https://www.zillow.com/community/meadows-at-oakleaf-townhomes/2080289858_zpid/
