title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Elkton,FL,32033,"$115,000",111512,1800,1.61,"3 bds, 2.0 ba ,1568 sqft",MyMHcommunity,https://www.zillow.com/homedetails/5832-Mora-Pl-Elkton-FL-32033/2098118102_zpid/
New construction,,Elkton,FL,32033,"$82,000",,1795,,"3 bds, 2.0 ba ,1536 sqft",MyMHcommunity,https://www.zillow.com/homedetails/5841-Mora-Pl-Elkton-FL-32033/2101797041_zpid/
New construction,,Elkton,FL,32033,"$149,800",,1600,,"3 bds, 2.0 ba ,1440 sqft",MyMHcommunity,https://www.zillow.com/homedetails/5013-Coquina-Crossing-Dr-Elkton-FL-32033/2083307780_zpid/
New construction,,Elkton,FL,32033,"$138,700",134695,1750,1.3,"3 bds, 2.0 ba ,1485 sqft",MyMHcommunity,https://www.zillow.com/homedetails/4978-Coquina-Crossing-Dr-Elkton-FL-32033/2103907882_zpid/
New construction,,Elkton,FL,32033,"$200,000",197647,,,"3 bds, 2.0 ba ,1080 sqft",BERKSHIRE HATHAWAY HOMESERVICES FLORIDA NETWORK REALTY,https://www.zillow.com/homedetails/4149-Saint-Ambrose-Church-Rd-Elkton-FL-32033/2077109348_zpid/
