title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Lady Lake,FL,32159,"$160,995",,,,"3 bds, 2.0 ba ,1440 sqft",Sun Homes,https://www.zillow.com/homedetails/225-Magnolia-Dr-11-Lady-Lake-FL-32159/2128800091_zpid/
New construction,,Lady Lake,FL,32159,"$159,995+",158684,,,"3 bds, 2.0 ba ,1920 sqft",Sun Homes,https://www.zillow.com/community/water-oak-country-club-estates/2081062855_zpid/
New construction,,Lady Lake,FL,32159,"$160,995+",153932,,,"3 bds, 2.0 ba ,1440 sqft",Sun Homes,https://www.zillow.com/community/water-oak-country-club-estates/2076865635_zpid/
New construction,,Lady Lake,FL,32159,"$163,995",,,,"3 bds, 2.0 ba ,1800 sqft",Sun Homes,https://www.zillow.com/homedetails/443-Watson-Dr-2035-Lady-Lake-FL-32159/2080160255_zpid/
