title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Apopka,FL,32712,"$57,900",56188,,,"3 bds, 2.0 ba ,None sqft",Lakeshore Management Co,https://www.zillow.com/homedetails/31-Dottie-St-252-Apopka-FL-32712/2076696197_zpid/
New construction,,Apopka,FL,32712,"$62,900",60907,,,"3 bds, 2.0 ba ,None sqft",Lakeshore Management Co,https://www.zillow.com/homedetails/133-W-Virgil-St-24-Apopka-FL-32712/2076710946_zpid/
New construction,,Apopka,FL,32712,"$57,900",55611,,,"3 bds, 2.0 ba ,None sqft",Lakeshore Management Co,https://www.zillow.com/homedetails/306-Epworth-Ln-512-Apopka-FL-32712/2079539554_zpid/
New construction,,Apopka,FL,32712,"$57,900",,,,"3 bds, 2.0 ba ,None sqft",Lakeshore Management Co,https://www.zillow.com/homedetails/1674-Sunburst-Dr-443-Apopka-FL-32712/2079539556_zpid/
New construction,,Apopka,FL,32712,"$52,900",,,,"3 bds, 2.0 ba ,None sqft",Lakeshore Management Co,https://www.zillow.com/homedetails/37-E-Virgil-St-1-Apopka-FL-32712/2076655546_zpid/
New construction,,Apopka,FL,32712,"$52,900",,,,"3 bds, 2.0 ba ,None sqft",Lakeshore Management Co,https://www.zillow.com/homedetails/143-Ashville-St-640-Apopka-FL-32712/2076655549_zpid/
