title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Deland,FL,32724,"$89,500",86696,,,"2 bds, 2.0 ba ,1387 sqft",Hawthorne Hills of Deland,https://www.zillow.com/homedetails/547-Orange-Blossom-Ln-Deland-FL-32724/2078028132_zpid/
New construction,,Deland,FL,32724,"$83,700",81099,,,"3 bds, 2.0 ba ,1387 sqft",Hawthorne Hills of Deland,https://www.zillow.com/homedetails/1291-Hickory-Ln-Deland-FL-32724/2078026826_zpid/
New construction,,Deland,FL,32724,"$77,800",75183,,,"3 bds, 2.0 ba ,1400 sqft",Hawthorne Hills of Deland,https://www.zillow.com/homedetails/1269-Linden-Way-Deland-FL-32724/2080398493_zpid/
New construction,,Deland,FL,32724,"$81,500",78689,,,"2 bds, 2.0 ba ,1404 sqft",Hawthorne Hills of Deland,https://www.zillow.com/homedetails/1277-Linden-Way-D-20-Deland-FL-32724/2080443527_zpid/
New construction,,Deland,FL,32724,"$83,600",81141,,,"3 bds, 2.0 ba ,1179 sqft",Hawthorne Hills of Deland,https://www.zillow.com/homedetails/567-Hawthorne-Dr-Deland-FL-32724/2078026827_zpid/
