title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
Multi-family home for sale,,Martinsburg,WV,25401,"$199,900",197431,1250,0.63,"None bds, None ba ,2055 sqft",,https://www.zillow.com/homedetails/323-S-Raleigh-St-Martinsburg-WV-25401/22334573_zpid/
Multi-family home for sale,,Martinsburg,WV,25401,"$80,000",80000,,,"None bds, None ba ,1152 sqft",,https://www.zillow.com/homedetails/412-1-2-E-Stephen-St-Martinsburg-WV-25401/2077040116_zpid/
Multi-family home for sale,,Martinsburg,WV,25401,"$124,900",123322,1150,0.93,"3 bds, 2.0 ba ,2230 sqft",,https://www.zillow.com/homedetails/232-S-Illinois-Ave-Martinsburg-WV-25401/2081877775_zpid/
Multi-family home for sale,,Martinsburg,WV,25401,"$260,000",254676,,,"None bds, None ba ,3042 sqft",,https://www.zillow.com/homedetails/606-606-N-Queen-St-608-Martinsburg-WV-25401/2077049356_zpid/
