title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Jacksonville,FL,32205,"$164,900",164900,1350,0.82,"3 bds, 3.0 ba ,1694 sqft",ADNORAM REALTY CORP,https://www.zillow.com/homedetails/724-Bent-Baum-Rd-Jacksonville-FL-32205/109761928_zpid/
New construction,,Jacksonville,FL,32205,"$164,900",164900,1350,0.82,"3 bds, 3.0 ba ,1694 sqft",ADNORAM REALTY CORP,https://www.zillow.com/homedetails/738-Bent-Baum-Rd-Jacksonville-FL-32205/109759300_zpid/
New construction,,Jacksonville,FL,32205,"$164,900",164900,1350,0.82,"3 bds, 3.0 ba ,1694 sqft",ADNORAM REALTY CORP,https://www.zillow.com/homedetails/748-Bent-Baum-Rd-Jacksonville-FL-32205/109756332_zpid/
New construction,,Jacksonville,FL,32205,"$159,900",159900,1345,0.84,"3 bds, 3.0 ba ,1674 sqft",Maronda Homes,https://www.zillow.com/homedetails/744-Bent-Baum-Rd-Jacksonville-FL-32205/109743347_zpid/
New construction,,Jacksonville,FL,32205,"$159,900",159900,1345,0.84,"3 bds, 3.0 ba ,1674 sqft",Maronda Homes,https://www.zillow.com/homedetails/742-Bent-Baum-Rd-Jacksonville-FL-32205/109755644_zpid/
New construction,,Jacksonville,FL,32205,"$159,900",159900,1345,0.84,"3 bds, 3.0 ba ,1674 sqft",Maronda Homes,https://www.zillow.com/homedetails/730-Bent-Baum-Rd-Jacksonville-FL-32205/109766025_zpid/
New construction,,Jacksonville,FL,32205,"$159,900",159900,1345,0.84,"3 bds, 3.0 ba ,1674 sqft",Maronda Homes,https://www.zillow.com/homedetails/728-Bent-Baum-Rd-Jacksonville-FL-32205/109746173_zpid/
New construction,,Jacksonville,FL,32205,"$159,900",159900,1345,0.84,"3 bds, 3.0 ba ,1647 sqft",Maronda Homes,https://www.zillow.com/homedetails/726-Bent-Baum-Rd-Jacksonville-FL-32205/109744960_zpid/
New construction,,Jacksonville,FL,32205,"$159,900",159900,1345,0.84,"3 bds, 3.0 ba ,1647 sqft",Maronda Homes,https://www.zillow.com/homedetails/746-Bent-Baum-Rd-Jacksonville-FL-32205/109759084_zpid/
New construction,,Jacksonville,FL,32205,"$159,900",159900,1345,0.84,"3 bds, 3.0 ba ,1647 sqft",Maronda Homes,https://www.zillow.com/homedetails/740-Bent-Baum-Rd-Jacksonville-FL-32205/109752369_zpid/
New construction,,Jacksonville,FL,32205,"$164,900",164900,1350,0.82,"3 bds, 3.0 ba ,1694 sqft",Maronda Homes,https://www.zillow.com/homedetails/734-Bent-Baum-Rd-Jacksonville-FL-32205/109742838_zpid/
New construction,,Jacksonville,FL,32205,"$159,900",159900,1346,0.84,"3 bds, 3.0 ba ,1647 sqft",Maronda Homes,https://www.zillow.com/homedetails/732-Bent-Baum-Rd-Jacksonville-FL-32205/109779202_zpid/
New construction,,Jacksonville,FL,32205,"$159,900+",155728,1350,0.87,"3 bds, 3.0 ba ,1647 sqft",Maronda Homes,https://www.zillow.com/community/bent-tree/2082764443_zpid/
