title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Bunker Hill,WV,25413,"$215,000",215001,,,"3 bds, 2.0 ba ,1203 sqft",,https://www.zillow.com/homedetails/231-Isaac-Dr-Bunker-Hill-WV-25413/2077103415_zpid/
New construction,,Bunker Hill,WV,25413,"$165,990",165990,,,"3 bds, 3.0 ba ,1253 sqft",,https://www.zillow.com/homedetails/0-Loblolly-Dr-Bunker-Hill-WV-25413/2076912518_zpid/
New construction,,Bunker Hill,WV,25413,"$215,000",215001,,,"3 bds, 2.0 ba ,1203 sqft",King Street Realty,https://www.zillow.com/homedetails/231-Isaac-Dr-Bunker-Hill-WV-25413/2077103415_zpid/
New construction,,Bunker Hill,WV,25413,"$165,990",165990,,,"3 bds, 3.0 ba ,1253 sqft","Dan Ryan Builders Realty, LLC",https://www.zillow.com/homedetails/0-Loblolly-Dr-Bunker-Hill-WV-25413/2076912518_zpid/
