title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Jacksonville,FL,32244,"$86,350",84648,,,"3 bds, 2.0 ba ,1344 sqft",Inspire Communities,https://www.zillow.com/homedetails/6539-Townsend-Rd-188-Jacksonville-FL-32244/2077097613_zpid/
New construction,,Jacksonville,FL,32244,"$69,000",65382,,,"3 bds, 2.0 ba ,1344 sqft",Inspire Communities,https://www.zillow.com/homedetails/5400-Collins-Rd-184-Jacksonville-FL-32244/2077097618_zpid/
New construction,,Jacksonville,FL,32244,"$73,500",70273,1170,1.66,"3 bds, 2.0 ba ,1344 sqft",Inspire Communities,https://www.zillow.com/homedetails/5400-Collins-Rd-LOT-105-Jacksonville-FL-32244/2115887166_zpid/
New construction,,Jacksonville,FL,32244,"$72,500",69310,,,"3 bds, 2.0 ba ,1456 sqft",Inspire Communities,https://www.zillow.com/homedetails/5400-Collins-Rd-31-Jacksonville-FL-32244/2077097614_zpid/
New construction,,Jacksonville,FL,32244,"$70,000",66325,,,"3 bds, 2.0 ba ,1344 sqft",Inspire Communities,https://www.zillow.com/homedetails/5400-Collins-Rd-9-Jacksonville-FL-32244/2077097617_zpid/
New construction,,Jacksonville,FL,32244,"$76,450",73777,,,"3 bds, 2.0 ba ,1248 sqft",Inspire Communities,https://www.zillow.com/homedetails/6539-Townsend-Rd-222-Jacksonville-FL-32244/2077097615_zpid/
New construction,,Jacksonville,FL,32244,"$67,000",63648,,,"3 bds, 2.0 ba ,1088 sqft",Inspire Communities,https://www.zillow.com/homedetails/6539-Townsend-Rd-290-Jacksonville-FL-32244/2077097612_zpid/
New construction,,Jacksonville,FL,32244,"$180,490+",176018,1450,0.82,"3 bds, 3.0 ba ,1707 sqft",Lennar,https://www.zillow.com/community/hills-of-ortega/2086899369_zpid/
New construction,,Jacksonville,FL,32244,"$69,850",66180,,,"3 bds, 2.0 ba ,1088 sqft",Inspire Communities,https://www.zillow.com/homedetails/6539-Townsend-Rd-189-Jacksonville-FL-32244/2077097616_zpid/
New construction,,Jacksonville,FL,32244,"$77,500",74863,,,"3 bds, 2.0 ba ,1456 sqft",Inspire Communities,https://www.zillow.com/homedetails/6776-Townsend-Rd-9-Jacksonville-FL-32244/2077097600_zpid/
New construction,,Jacksonville,FL,32244,"$195,490+",190451,1600,0.84,"3 bds, 3.0 ba ,1782 sqft",Lennar,https://www.zillow.com/community/hills-of-ortega/2086899362_zpid/
New construction,,Jacksonville,FL,32244,"$197,990+",192414,,,"3 bds, 2.0 ba ,1222 sqft",D.R. Horton - Jacksonville,https://www.zillow.com/community/ortega-place/2078584123_zpid/
New construction,,Jacksonville,FL,32244,"$185,490+",180875,1450,0.8,"3 bds, 3.0 ba ,1725 sqft",Lennar,https://www.zillow.com/community/hills-of-ortega/2086899368_zpid/
New construction,,Jacksonville,FL,32244,"$72,000",68963,,,"3 bds, 2.0 ba ,1456 sqft",Inspire Communities,https://www.zillow.com/homedetails/6776-Townsend-Rd-37-Jacksonville-FL-32244/2077097601_zpid/
