title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Jacksonville,FL,32208,"$189,900",189900,1250,0.66,"4 bds, 2.0 ba ,1612 sqft",CCARTER REALTY GROUP,https://www.zillow.com/homedetails/2045-Burgoyne-Dr-Jacksonville-FL-32208/44439133_zpid/
New construction,,Jacksonville,FL,32208,"$165,000",165000,,,"3 bds, 2.0 ba ,1200 sqft",DISTINCTIVE PROPERTIES OF JACKSONVILLE INC,https://www.zillow.com/homedetails/1025-Ardoon-St-Jacksonville-FL-32208/44444501_zpid/
New construction,,Jacksonville,FL,32208,"$199,999",,,,"3 bds, 2.0 ba ,1419 sqft",FLORIDA HOMES REALTY & MTG LLC,https://www.zillow.com/homedetails/9706-Sibbald-Rd-Jacksonville-FL-32208/2079542741_zpid/
New construction,,Jacksonville,FL,32208,"$159,900",156371,,,"3 bds, 2.0 ba ,1189 sqft","LA ROSA REALTY NORTH FLORIDA, LLC.",https://www.zillow.com/homedetails/9022-3rd-Ave-Jacksonville-FL-32208/2079985360_zpid/
New construction,,Jacksonville,FL,32208,"$195,000",194985,,,"3 bds, 2.0 ba ,1400 sqft",DISTINCTIVE PROPERTIES OF JACKSONVILLE INC,https://www.zillow.com/homedetails/2228-Holcroft-Dr-Jacksonville-FL-32208/44438271_zpid/
