title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Live Oak,FL,32060,"$157,500",157500,,,"4 bds, 2.0 ba ,2048 sqft",NATURE COAST REAL ESTATE,https://www.zillow.com/homedetails/9625-137th-Ct-Live-Oak-FL-32060/2077358988_zpid/
New construction,,Live Oak,FL,32060,"$103,900",,1300,,"3 bds, 2.0 ba ,1568 sqft",NATURE COAST REAL ESTATE,https://www.zillow.com/homedetails/11554-74th-Trce-Live-Oak-FL-32060/2081877007_zpid/
New construction,,Live Oak,FL,32060,"$164,995",164995,,,"4 bds, 3.0 ba ,2368 sqft",NATURE COAST REAL ESTATE,https://www.zillow.com/homedetails/13735-98th-St-Live-Oak-FL-32060/2077485298_zpid/
New construction,,Live Oak,FL,32060,"$143,395",143395,,,"4 bds, 2.0 ba ,1525 sqft",NATURE COAST REAL ESTATE,https://www.zillow.com/homedetails/13743-98th-St-Live-Oak-FL-32060/2078062128_zpid/
New construction,,Live Oak,FL,32060,"$139,995",139995,,,"3 bds, 2.0 ba ,1365 sqft",NATURE COAST REAL ESTATE,https://www.zillow.com/homedetails/9678-137th-Lndg-Live-Oak-FL-32060/2076948681_zpid/
New construction,,Live Oak,FL,32060,"$141,395",141395,,,"3 bds, 2.0 ba ,1460 sqft",NATURE COAST REAL ESTATE,https://www.zillow.com/homedetails/9640-137th-Ct-Live-Oak-FL-32060/2077603002_zpid/
