title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Jacksonville,FL,32206,"$164,900",164900,,,"3 bds, 2.0 ba ,1250 sqft",WATSON REALTY CORP,https://www.zillow.com/homedetails/1750-E-27th-St-Jacksonville-FL-32206/109748277_zpid/
New construction,,Jacksonville,FL,32206,"$199,485",197620,,,"3 bds, 3.0 ba ,1631 sqft",LENNAR REALTY INC,https://www.zillow.com/homedetails/10292-Alder-St-Jacksonville-FL-32206/2077111690_zpid/
New construction,,Jacksonville,FL,32209,"$170,000",168294,,,"3 bds, 2.0 ba ,1500 sqft","LA ROSA REALTY NORTH FLORIDA, LLC.",https://www.zillow.com/homedetails/1789-W-24th-St-Jacksonville-FL-32209/2077828345_zpid/
