title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Palatka,FL,32177,"$139,900",134622,,,"3 bds, 2.0 ba ,1263 sqft",CHARLES RUTENBERG REALTY ORLANDO,https://www.zillow.com/homedetails/154-Lettie-Ln-Palatka-FL-32177/80793624_zpid/
New construction,,Palatka,FL,32177,"$184,900",180044,,,"3 bds, 2.0 ba ,1300 sqft",COLDWELL BANKER PREMIER PROPERTIES,https://www.zillow.com/homedetails/1606-Prospect-St-Palatka-FL-32177/47442660_zpid/
New construction,,Palatka,FL,32177,"$139,900",136487,,,"3 bds, 2.0 ba ,1493 sqft",IHEART REALTY INC,https://www.zillow.com/homedetails/6004-E-6th-Mnr-Palatka-FL-32177/99835788_zpid/
New construction,,Palatka,FL,32177,"$129,900",127532,,,"3 bds, 2.0 ba ,1280 sqft",IHEART REALTY INC,https://www.zillow.com/homedetails/6006-E-6th-Mnr-Palatka-FL-32177/99782239_zpid/
