title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Ocala,FL,34472,"$155,000",151216,,,"3 bds, 2.0 ba ,1096 sqft",RE/MAX ALLSTARS REALTY,https://www.zillow.com/homedetails/89-Olive-Rd-Ocala-FL-34472/251970853_zpid/
New construction,,Ocala,FL,34472,"$199,900",,,,"3 bds, 2.0 ba ,1511 sqft",SELLSTATE NEXT GENERATION REAL,https://www.zillow.com/homedetails/0-Oak-Lane-Drive-Dr-Ocala-FL-34472/2081116272_zpid/
New construction,,Belleview,FL,34420,"$149,900",149681,,,"3 bds, 2.0 ba ,1232 sqft",SELLSTATE NEXT GENERATION REAL,https://www.zillow.com/homedetails/12506-SE-104th-Ter-Belleview-FL-34420/2077775984_zpid/
