title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Grand Island,FL,32735,"$73,500",72144,1324,1.84,"3 bds, 2.0 ba ,1456 sqft",MyMHcommunity,https://www.zillow.com/homedetails/13128-Grape-Ave-Grand-Island-FL-32735/2113556469_zpid/
New construction,,Grand Island,FL,32735,"$89,900",,1275,,"2 bds, 2.0 ba ,1372 sqft",MyMHcommunity,https://www.zillow.com/homedetails/36116-Plum-Ave-Grand-Island-FL-32735/2087400302_zpid/
New construction,,Grand Island,FL,32735,"$101,900",100800,1325,1.31,"3 bds, 2.0 ba ,1344 sqft",MyMHcommunity,https://www.zillow.com/homedetails/13147-Lemon-Ave-Grand-Island-FL-32735/2084686413_zpid/
