title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts_and_features,real_estate_provider,url,zone,zoning_description
Condo for sale,,Lahaina,HI,96761,"$539,000",538999,,,"2 bds, 1.0 ba ,700 sqft",Hawaii Life (KAP),https://www.zillow.com/homedetails/760-Wainee-St-APT-A104-Lahaina-HI-96761/65274437_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$399,000",,,,"1 bds, 1.0 ba ,806 sqft",Keller Williams Realty Maui-L,https://www.zillow.com/homedetails/3445-Lower-Honoapiilani-Rd-614-Lahaina-HI-96761/80331938_zpid/,4,"State Zoning: Urban,County Zoning: H-2 Hotel District"
Condo for sale,,Lahaina,HI,96761,"$649,000",,,,"2 bds, 2.0 ba ,1066 sqft",Island Sotheby's Int'l Rlty(L),https://www.zillow.com/homedetails/4401-Lower-Honoapiilani-Rd-APT-A101-Lahaina-HI-96761/2075320858_zpid/,4,"State Zoning: Urban,County Zoning: H-1 Hotel District"
Condo for sale,,Lahaina,HI,96761,"$690,000",669464,,,"3 bds, 2.0 ba ,1332 sqft",Hawaii Life (KAP),https://www.zillow.com/homedetails/1660-Limahana-Cir-F101-Lahaina-HI-96761/2078406056_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District,M-1 Light Industrial"
Condo for sale,,Lahaina,HI,96761,"$465,000",459079,,,"2 bds, 2.0 ba ,920 sqft","Fine Island Properties, LLC",https://www.zillow.com/homedetails/4310-Lower-Honoapiilani-Rd-APT-304-Lahaina-HI-96761/71764977_zpid/,4,"State Zoning: Urban,County Zoning: H-1 Hotel District"
Condo for sale,,Lahaina,HI,96761,"$445,000",435088,,,"2 bds, 1.0 ba ,646 sqft","Platinum Properties Hawaii,LLC",https://www.zillow.com/homedetails/4955-Hanawai-St-APT-1-206-Lahaina-HI-96761/71764379_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$525,000",478675,,,"1 bds, 1.0 ba ,611 sqft",West Maui Luxury Property,https://www.zillow.com/homedetails/4471-Lower-Honoapiilani-Rd-BUILDING-302-Lahaina-HI-96761/2080606156_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
Condo for sale,,Lahaina,HI,96761,"$415,000",,,,"1 bds, 2.0 ba ,960 sqft",Island Sotheby's Int'l Rlty(L),https://www.zillow.com/homedetails/2661-Kekaa-Dr-L102-Lahaina-HI-96761/80332889_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
Condo for sale,,Lahaina,HI,96761,"$480,000",479483,,,"1 bds, 1.0 ba ,499 sqft","Lovely Maui Homes, LLC",https://www.zillow.com/homedetails/3741-Lower-Honoapiilani-Rd-APT-104-Lahaina-HI-96761/80330317_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$549,000",528136,,,"1 bds, 1.0 ba ,598 sqft",,https://www.zillow.com/homedetails/3785-Lower-Honoapiilani-Rd-APT-214-Lahaina-HI-96761/756881_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$399,000",384757,,,"1 bds, 1.0 ba ,598 sqft",Coldwell Banker Island Prop-KP,https://www.zillow.com/homedetails/3785-Lower-Honoapiilani-Rd-APT-203-Lahaina-HI-96761/71764660_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
