title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
Multi-family home for sale,,Hagerstown,MD,21742,"$250,000",196032,1200,0.61,"4 bds, None ba ,2420 sqft","RG Realty, Inc.",https://www.zillow.com/homedetails/803-Woodland-Way-Hagerstown-MD-21742/37675327_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$230,000",207244,1500,0.72,"5 bds, None ba ,2496 sqft",Keller Williams Realty Centre,https://www.zillow.com/homedetails/605-Sunset-Ave-Hagerstown-MD-21740/64520470_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$249,900",170430,1350,0.79,"8 bds, None ba ,3672 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/650-W-Washington-St-Hagerstown-MD-21740/37681868_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$240,000",244897,,,"6 bds, None ba ,2560 sqft",Keller Williams Premier Realty,https://www.zillow.com/homedetails/1037-1-2-Spruce-St-Hagerstown-MD-21740/2070543351_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$145,000",151731,,,"3 bds, None ba ,1116 sqft",Sell Your Home Services,https://www.zillow.com/homedetails/820-820-Pine-St-822-Hagerstown-MD-21740/2070996364_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$219,900",219900,1350,0.61,"3 bds, None ba ,1722 sqft","Sullivan Select, LLC.",https://www.zillow.com/homedetails/524-Virginia-Ave-Hagerstown-MD-21740/37648343_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$112,500",,950,,"3 bds, None ba ,948 sqft",RE/MAX Results,https://www.zillow.com/homedetails/212-Summer-St-Hagerstown-MD-21740/82160587_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$169,900",173077,,,"6 bds, None ba ,1008 sqft",Berkshire Hathaway HomeServices Bowen Realty,https://www.zillow.com/homedetails/486-488-Mcdowell-Ave-Hagerstown-MD-21740/2072235818_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$209,900",42834,1200,2.8,"2 bds, None ba ,1296 sqft",Coldwell Banker Innovations,https://www.zillow.com/homedetails/709-N-Mulberry-St-Hagerstown-MD-21740/37677557_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$425,000",,,,"11 bds, None ba ,5656 sqft",RE/MAX Achievers,https://www.zillow.com/homedetails/133-133-135-Summit-Ave-Hagerstown-MD-21740/2080893482_zpid/
Multi-family home for sale,,Hagerstown,MD,21740,"$349,900",349900,,,"6 bds, None ba ,5304 sqft",RE/MAX Achievers,https://www.zillow.com/homedetails/335-N-Potomac-St-Hagerstown-MD-21740/2074941194_zpid/
